calc_imps,J_data_uuid,imp0,offset0,ilayer0,imp1,offset1,ilayer1,i,j,Z_i,Z_j,J,D,Dx,Dy,Dz,rx,ry,rz,r,mom1,mom2,tot_mom,s00,p00,d00,f00,s01,p01,d01,f01,group1,period1,en1,group2,period2,en2
0,2,9ec53578-777c-4884-a3a7-084ad3586748,21,0,3,22,1,3,0,1,21,22,0.0124270853311335,0.0029529986172943,-0.0003343142994579,-0.0020230228549123,-0.002125044308108,-0.41851489357247,0.0,0.0,0.41851489357247,1.8567015891424e-06,0.81527563023296,0.8152774869345492,2,0,1,0,2,0,2,0,3,4,7.042000000000001,4,4,8.17
1,2,b218302c-a882-46f3-b4d7-e148d9f1cb0b,21,0,3,39,1,3,0,1,21,39,-2.337413120629476e-21,3.5868303726123955e-22,-7.543442561756173e-23,2.18049824914672e-22,2.7462236344729327e-22,-0.41851489357247,0.0,0.0,0.41851489357247,-4.1738501543875e-11,-3.3083980000015e-11,-7.482248154389e-11,2,0,1,0,2,0,1,0,3,4,7.042000000000001,3,5,6.631
2,2,19f51d50-b554-4eb1-b106-a9e78a1831f4,21,0,3,21,1,3,0,1,21,21,-5.7648353281071426e-21,1.3831246942553632e-21,-1.1035400719837994e-22,9.714627890543314e-22,9.783230358307176e-22,-0.41851489357247,0.0,0.0,0.41851489357247,-4.2859493731839e-11,-4.6754822236039e-11,-8.961431596787799e-11,2,0,1,0,2,0,1,0,3,4,7.042000000000001,3,4,7.042000000000001
3,2,93cdd1c9-1cb4-4674-aefd-f427f7d23ef8,25,0,3,21,1,3,0,1,25,21,0.0823792143108691,0.0082943817206291,-0.0013387144635506,-0.0036017545912289,-0.0073506445688218,-0.41851489357247,0.0,0.0,0.41851489357247,4.4094886433549,0.010697430097903,4.420186073452802,2,0,5,0,2,0,1,0,7,4,10.34,3,4,7.042000000000001
4,2,de909ef1-e7c6-4566-b585-1c0d3f072f40,24,0,3,21,1,3,0,1,24,21,0.0397861753989443,0.0266141815380352,0.0002688622874972,-0.0205702233220715,-0.0168851498213656,-0.41851489357247,0.0,0.0,0.41851489357247,3.8153944257954,0.0045144698581494,3.819908895653549,1,0,5,0,2,0,1,0,6,4,9.77,3,4,7.042000000000001
5,2,5c685683-1850-431c-9716-d48a673f57e8,25,0,3,39,1,3,0,1,25,39,0.0343486325082989,0.0039752570905068,-0.0001763594781394,-0.0022007265246213,-0.0033058083782825,-0.41851489357247,0.0,0.0,0.41851489357247,4.4090732320733,0.004567856017042,4.413641088090342,2,0,5,0,2,0,1,0,7,4,10.34,3,5,6.631
6,2,2d094ce5-4188-414d-8c8b-f5ac947cb077,21,0,3,40,1,3,0,1,21,40,-4.894430352659925e-21,7.224031941288984e-22,8.081792339520064e-23,6.123479361963701e-22,3.746529636633994e-22,-0.41851489357247,0.0,0.0,0.41851489357247,-3.7977065936445e-11,-4.7904569200341004e-11,-8.5881635136786e-11,2,0,1,0,2,0,2,0,3,4,7.042000000000001,4,5,7.808
7,2,dce937a2-227c-486a-91e3-6c725a82a949,24,0,3,40,1,3,0,1,24,40,0.1545773869261589,0.0346145975427768,-0.0093816309444222,-0.0137187885464936,-0.0303636329296688,-0.41851489357247,0.0,0.0,0.41851489357247,3.8501524627211,0.020415159819631,3.8705676225407313,1,0,5,0,2,0,2,0,6,4,9.77,4,5,7.808
8,2,4f383093-9c8d-443e-b099-13550f5bd0be,24,0,3,41,1,3,0,1,24,41,20.48168605106824,4.167683793371741,-0.9531845299881132,-2.681508113047335,-3.044756425887977,-0.41851489357247,0.0,0.0,0.41851489357247,3.8553764882646,1.1732213325243,5.0285978207889,1,0,5,0,1,0,4,0,6,4,9.77,5,5,8.34
9,2,b6ba8793-a35f-4b3b-a266-c1814c02d8c9,21,0,3,30,1,3,0,1,21,30,-3.105092504970592e-21,1.447996254050921e-21,-6.899412840111572e-24,-1.1421847814723672e-21,-8.899772327542325e-22,-0.41851489357247,0.0,0.0,0.41851489357247,-4.2185477333589e-11,-2.5873525544284e-11,-6.805900287787301e-11,2,0,1,0,2,0,1,0,3,4,7.042000000000001,12,4,9.395
10,2,1f270b41-5e9a-4072-8ec2-f36be99b8903,21,0,3,41,1,3,0,1,21,41,0.1047250155974534,0.0168543518811737,-0.0010927093630333,-0.0077518573035422,-0.0149259462657442,-0.41851489357247,0.0,0.0,0.41851489357247,0.008590754128028,1.2002627951905,1.208853549318528,2,0,1,0,1,0,4,0,3,4,7.042000000000001,5,5,8.34
11,2,34e45960-075d-42ba-9644-4255d80ab3b6,21,0,3,48,1,3,0,1,21,48,-3.175959270709765e-21,1.1659101308739347e-21,-1.263974977888332e-23,9.332707486287059e-22,6.987076497033771e-22,-0.41851489357247,0.0,0.0,0.41851489357247,-4.2267078725899e-11,-3.8564706983379e-11,-8.083178570927801e-11,2,0,1,0,2,0,1,0,3,4,7.042000000000001,12,5,8.995
12,2,b21abeaf-3f11-48a0-bc80-7ef1324fdd70,24,0,3,39,1,3,0,1,24,39,0.0210706204933368,0.0135813513394549,-1.6972257860362915e-06,-0.0107212680401539,-0.0083371165840663,-0.41851489357247,0.0,0.0,0.41851489357247,3.8163124338657,0.0007736908525937,3.8170861247182937,1,0,5,0,2,0,1,0,6,4,9.77,3,5,6.631
13,2,18ccd7e5-241a-416d-ae82-7f84ea077fd1,24,0,3,42,1,3,0,1,24,42,18.0755672094934,5.672595646563954,-0.2971462411472828,-4.751625543007658,-3.08416928520883,-0.41851489357247,0.0,0.0,0.41851489357247,3.8270231493108,2.5547726565577,6.381795805868499,1,0,5,0,1,0,5,0,6,4,9.77,6,5,8.71
