   PK  Created    Process label                Process State     Process status
-----  ---------  ---------------------------  ----------------  -----------------------------------------
51043  21h ago    combine_imps_wc              ⏹ Finished [700]
51044  21h ago    create_combined_imp_info_cf  ⏹ Finished [0]
51049  21h ago    kkr_flex_wc                  ⏹ Finished [106]
51051  21h ago    update_params_wf             ⏹ Finished [0]
51054  21h ago    KkrCalculation               ⏹ Finished [302]
51062  20h ago    combine_imps_wc              ⏹ Finished [700]
51063  20h ago    create_combined_imp_info_cf  ⏹ Finished [0]
51068  20h ago    kkr_flex_wc                  ⏹ Finished [106]
51070  20h ago    update_params_wf             ⏹ Finished [0]
51073  20h ago    KkrCalculation               ⏹ Finished [302]
51077  20h ago    extract_imp_pot_sfd          ⏹ Finished [0]
51080  20h ago    KkrimpCalculation            ⏹ Finished [0]
51084  19h ago    extract_imp_pot_sfd          ⏹ Finished [0]
51087  19h ago    KkrimpCalculation            ⏹ Finished [0]
51093  19h ago    extract_imp_pot_sfd          ⏹ Finished [0]
51096  19h ago    create_out_dict_node         ⏹ Finished [0]
51099  19h ago    KkrimpCalculation            ⏹ Finished [0]
51103  19h ago    extract_imp_pot_sfd          ⏹ Finished [0]
51106  19h ago    create_out_dict_node         ⏹ Finished [0]
51109  19h ago    KkrimpCalculation            ⏹ Finished [0]
51113  19h ago    parse_Jij                    ⏹ Finished [0]
51117  19h ago    create_out_dict_node         ⏹ Finished [0]
51121  19h ago    parse_Jij                    ⏹ Finished [0]
51125  19h ago    create_out_dict_node         ⏹ Finished [0]
51127  15h ago    combine_imps_wc              ⏹ Finished [999]
51128  15h ago    combine_imps_wc              ⏹ Finished [999]
51129  15h ago    create_combined_imp_info_cf  ⏹ Finished [0]
51134  15h ago    combine_potentials_cf        ⏹ Finished [0]
51135  15h ago    create_combined_imp_info_cf  ⏹ Finished [0]
51137  15h ago    kkr_imp_sub_wc               ⏹ Finished [127]
51142  15h ago    combine_potentials_cf        ⏹ Finished [0]
51146  15h ago    kick_out_corestates_wf       ⏹ Finished [0]
51147  15h ago    kkr_imp_sub_wc               ⏹ Finished [127]
51149  15h ago    KkrimpCalculation            ⏹ Finished [0]
51152  15h ago    kick_out_corestates_wf       ⏹ Finished [0]
51154  15h ago    KkrimpCalculation            ⏹ Finished [0]
51155  15h ago    combine_imps_wc              ⏹ Finished [999]
51156  15h ago    combine_imps_wc              ⏹ Finished [999]
51157  15h ago    create_combined_imp_info_cf  ⏹ Finished [0]
51161  15h ago    create_combined_imp_info_cf  ⏹ Finished [0]
51163  15h ago    combine_potentials_cf        ⏹ Finished [0]
51168  15h ago    kkr_imp_sub_wc               ⏹ Finished [127]
51170  15h ago    combine_potentials_cf        ⏹ Finished [0]
51174  15h ago    kick_out_corestates_wf       ⏹ Finished [0]
51175  15h ago    kkr_imp_sub_wc               ⏹ Finished [127]
51177  15h ago    KkrimpCalculation            ⏹ Finished [0]
51180  15h ago    kick_out_corestates_wf       ⏹ Finished [0]
51182  15h ago    KkrimpCalculation            ⏹ Finished [0]
51183  15h ago    combine_imps_wc              ⏹ Finished [999]
51184  15h ago    combine_imps_wc              ⏹ Finished [999]
51185  15h ago    create_combined_imp_info_cf  ⏹ Finished [0]
51189  15h ago    create_combined_imp_info_cf  ⏹ Finished [0]
51191  15h ago    combine_potentials_cf        ⏹ Finished [0]
51197  15h ago    combine_potentials_cf        ⏹ Finished [0]
51198  15h ago    kkr_imp_sub_wc               ⏹ Finished [127]
51201  15h ago    kkr_imp_sub_wc               ⏹ Finished [127]
51203  15h ago    kick_out_corestates_wf       ⏹ Finished [0]
51206  15h ago    kick_out_corestates_wf       ⏹ Finished [0]
51208  15h ago    KkrimpCalculation            ⏹ Finished [0]
51210  15h ago    KkrimpCalculation            ⏹ Finished [0]
51211  15h ago    combine_imps_wc              ⏹ Finished [999]
51212  15h ago    combine_imps_wc              ⏹ Finished [999]
51213  15h ago    create_combined_imp_info_cf  ⏹ Finished [0]
51217  15h ago    create_combined_imp_info_cf  ⏹ Finished [0]
51219  15h ago    combine_potentials_cf        ⏹ Finished [0]
51225  15h ago    combine_potentials_cf        ⏹ Finished [0]
51226  15h ago    kkr_imp_sub_wc               ⏹ Finished [127]
51229  15h ago    kkr_imp_sub_wc               ⏹ Finished [127]
51231  15h ago    kick_out_corestates_wf       ⏹ Finished [0]
51235  15h ago    kick_out_corestates_wf       ⏹ Finished [0]
51236  15h ago    KkrimpCalculation            ⏹ Finished [0]
51238  15h ago    KkrimpCalculation            ⏹ Finished [0]
51239  15h ago    combine_imps_wc              ⏹ Finished [999]
51240  15h ago    create_combined_imp_info_cf  ⏹ Finished [0]
51245  15h ago    combine_potentials_cf        ⏹ Finished [0]
51247  15h ago    kkr_imp_sub_wc               ⏹ Finished [127]
51250  15h ago    kick_out_corestates_wf       ⏹ Finished [0]
51252  15h ago    KkrimpCalculation            ⏹ Finished [0]
51253  15h ago    combine_imps_wc              ⏹ Finished [999]
51254  15h ago    combine_imps_wc              ⏹ Finished [999]
51255  15h ago    create_combined_imp_info_cf  ⏹ Finished [0]
51259  15h ago    create_combined_imp_info_cf  ⏹ Finished [0]
51261  15h ago    combine_potentials_cf        ⏹ Finished [0]
51268  15h ago    kkr_imp_sub_wc               ⏹ Finished [127]
51267  15h ago    combine_potentials_cf        ⏹ Finished [0]
51273  15h ago    kkr_imp_sub_wc               ⏹ Finished [127]
51272  15h ago    kick_out_corestates_wf       ⏹ Finished [0]
51277  15h ago    kick_out_corestates_wf       ⏹ Finished [0]
51278  15h ago    KkrimpCalculation            ⏹ Finished [0]
51280  15h ago    KkrimpCalculation            ⏹ Finished [0]
51281  15h ago    combine_imps_wc              ⏹ Finished [999]
51282  15h ago    combine_imps_wc              ⏹ Finished [999]
51283  15h ago    combine_imps_wc              ⏹ Finished [999]
51284  15h ago    create_combined_imp_info_cf  ⏹ Finished [0]
51287  15h ago    create_combined_imp_info_cf  ⏹ Finished [0]
51290  15h ago    combine_potentials_cf        ⏹ Finished [0]
51294  15h ago    create_combined_imp_info_cf  ⏹ Finished [0]
51297  15h ago    combine_potentials_cf        ⏹ Finished [0]
51298  15h ago    kkr_imp_sub_wc               ⏹ Finished [127]
51303  15h ago    combine_imps_wc              ⏹ Finished [999]
51306  15h ago    kkr_imp_sub_wc               ⏹ Finished [127]
51305  15h ago    combine_potentials_cf        ⏹ Finished [0]
51309  15h ago    kick_out_corestates_wf       ⏹ Finished [0]
51312  15h ago    kkr_imp_sub_wc               ⏹ Finished [127]
51314  15h ago    kick_out_corestates_wf       ⏹ Finished [0]
51316  15h ago    KkrimpCalculation            ⏹ Finished [0]
51317  15h ago    create_combined_imp_info_cf  ⏹ Finished [0]
51320  15h ago    kick_out_corestates_wf       ⏹ Finished [0]
51325  15h ago    KkrimpCalculation            ⏹ Finished [0]
51327  15h ago    combine_potentials_cf        ⏹ Finished [0]
51329  15h ago    KkrimpCalculation            ⏹ Finished [0]
51331  15h ago    kkr_imp_sub_wc               ⏹ Finished [127]
51334  15h ago    kick_out_corestates_wf       ⏹ Finished [0]
51335  15h ago    combine_imps_wc              ⏹ Finished [999]
51337  15h ago    KkrimpCalculation            ⏹ Finished [0]
51338  15h ago    combine_imps_wc              ⏹ Finished [999]
51339  15h ago    create_combined_imp_info_cf  ⏹ Finished [0]
51344  15h ago    combine_potentials_cf        ⏹ Finished [0]
51346  15h ago    kkr_imp_sub_wc               ⏹ Finished [127]
51349  15h ago    kick_out_corestates_wf       ⏹ Finished [0]
51351  15h ago    KkrimpCalculation            ⏹ Finished [0]
51354  15h ago    combine_imps_wc              ⏹ Finished [999]
51355  15h ago    create_combined_imp_info_cf  ⏹ Finished [0]
51359  15h ago    combine_imps_wc              ⏹ Finished [999]
51361  15h ago    combine_potentials_cf        ⏹ Finished [0]
51363  15h ago    kkr_imp_sub_wc               ⏹ Finished [127]
51364  15h ago    create_combined_imp_info_cf  ⏹ Finished [0]
51369  15h ago    combine_potentials_cf        ⏹ Finished [0]
51373  15h ago    kkr_imp_sub_wc               ⏹ Finished [127]
51374  15h ago    combine_imps_wc              ⏹ Finished [999]
51375  15h ago    combine_imps_wc              ⏹ Finished [999]
51376  15h ago    create_combined_imp_info_cf  ⏹ Finished [0]
51380  15h ago    create_combined_imp_info_cf  ⏹ Finished [0]
51382  15h ago    combine_potentials_cf        ⏹ Finished [0]
51388  15h ago    combine_potentials_cf        ⏹ Finished [0]
51389  15h ago    kkr_imp_sub_wc               ⏹ Finished [127]
51391  15h ago    kkr_imp_sub_wc               ⏹ Finished [127]
51395  15h ago    create_combined_imp_info_cf  ⏹ Finished [0]
51400  15h ago    combine_potentials_cf        ⏹ Finished [0]
51401  15h ago    combine_imps_wc              ⏹ Finished [999]
51403  15h ago    kkr_imp_sub_wc               ⏹ Finished [127]
51404  15h ago    combine_imps_wc              ⏹ Finished [999]
51407  15h ago    kick_out_corestates_wf       ⏹ Finished [0]
51408  15h ago    create_combined_imp_info_cf  ⏹ Finished [0]
51410  15h ago    KkrimpCalculation            ⏹ Finished [0]
51415  15h ago    combine_potentials_cf        ⏹ Finished [0]
51417  15h ago    kkr_imp_sub_wc               ⏹ Finished [127]
51421  15h ago    combine_imps_wc              ⏹ Finished [999]
51422  15h ago    combine_imps_wc              ⏹ Finished [999]
51424  15h ago    combine_imps_wc              ⏹ Finished [999]
51425  15h ago    combine_imps_wc              ⏹ Finished [999]
51427  15h ago    create_combined_imp_info_cf  ⏹ Finished [0]
51432  15h ago    kick_out_corestates_wf       ⏹ Finished [0]
51435  15h ago    create_combined_imp_info_cf  ⏹ Finished [0]
51437  15h ago    combine_potentials_cf        ⏹ Finished [0]
51442  15h ago    KkrimpCalculation            ⏹ Finished [0]
51445  15h ago    combine_potentials_cf        ⏹ Finished [0]
51446  15h ago    kkr_imp_sub_wc               ⏹ Finished [127]
51448  15h ago    kkr_imp_sub_wc               ⏹ Finished [127]
51449  15h ago    create_combined_imp_info_cf  ⏹ Finished [0]
51454  15h ago    combine_potentials_cf        ⏹ Finished [0]
51456  15h ago    kkr_imp_sub_wc               ⏹ Finished [127]
51459  15h ago    kick_out_corestates_wf       ⏹ Finished [0]
51462  15h ago    kick_out_corestates_wf       ⏹ Finished [0]
51465  15h ago    KkrimpCalculation            ⏹ Finished [0]
51466  15h ago    KkrimpCalculation            ⏹ Finished [0]
51467  15h ago    combine_imps_wc              ⏹ Finished [0]
51469  15h ago    combine_imps_wc              ⏹ Finished [0]
51472  15h ago    kick_out_corestates_wf       ⏹ Finished [0]
51473  15h ago    combine_imps_wc              ⏹ Finished [0]
51475  15h ago    combine_imps_wc              ⏹ Finished [0]
51476  15h ago    KkrimpCalculation            ⏹ Finished [0]
51477  15h ago    create_combined_imp_info_cf  ⏹ Finished [0]
51482  15h ago    combine_imps_wc              ⏹ Finished [0]
51481  15h ago    create_combined_imp_info_cf  ⏹ Finished [0]
51485  15h ago    combine_potentials_cf        ⏹ Finished [0]
51488  15h ago    create_combined_imp_info_cf  ⏹ Finished [0]
51492  15h ago    combine_imps_wc              ⏹ Finished [0]
51491  15h ago    kick_out_corestates_wf       ⏹ Finished [0]
51500  15h ago    combine_potentials_cf        ⏹ Finished [0]
51497  15h ago    create_combined_imp_info_cf  ⏹ Finished [0]
51501  15h ago    kkr_imp_sub_wc               ⏹ Finished [0]
51502  15h ago    combine_imps_wc              ⏹ Finished [0]
51507  15h ago    combine_potentials_cf        ⏹ Finished [0]
51509  15h ago    KkrimpCalculation            ⏹ Finished [0]
51511  15h ago    combine_imps_wc              ⏹ Finished [0]
51512  15h ago    kkr_imp_sub_wc               ⏹ Finished [0]
51515  15h ago    combine_potentials_cf        ⏹ Finished [0]
51516  15h ago    kkr_imp_sub_wc               ⏹ Finished [0]
51517  15h ago    combine_imps_wc              ⏹ Finished [0]
51521  15h ago    kick_out_corestates_wf       ⏹ Finished [0]
51522  15h ago    kkr_imp_sub_wc               ⏹ Finished [127]
51523  15h ago    create_combined_imp_info_cf  ⏹ Finished [0]
51524  15h ago    combine_imps_wc              ⏹ Finished [0]
51529  15h ago    kick_out_corestates_wf       ⏹ Finished [0]
51531  15h ago    KkrimpCalculation            ⏹ Finished [0]
51533  15h ago    create_combined_imp_info_cf  ⏹ Finished [0]
51534  15h ago    combine_imps_wc              ⏹ Finished [0]
51539  15h ago    combine_potentials_cf        ⏹ Finished [0]
51540  15h ago    KkrimpCalculation            ⏹ Finished [0]
51541  15h ago    combine_imps_wc              ⏹ Finished [0]
51543  15h ago    create_combined_imp_info_cf  ⏹ Finished [0]
51547  15h ago    kick_out_corestates_wf       ⏹ Finished [0]
51549  15h ago    combine_potentials_cf        ⏹ Finished [0]
51550  15h ago    kkr_imp_sub_wc               ⏹ Finished [0]
51551  15h ago    combine_imps_wc              ⏹ Finished [0]
51559  15h ago    combine_imps_wc              ⏹ Finished [0]
51558  15h ago    combine_potentials_cf        ⏹ Finished [0]
51560  15h ago    kkr_imp_sub_wc               ⏹ Finished [0]
51561  15h ago    KkrimpCalculation            ⏹ Finished [0]
51564  15h ago    kick_out_corestates_wf       ⏹ Finished [0]
51566  15h ago    create_combined_imp_info_cf  ⏹ Finished [0]
51567  15h ago    kkr_imp_sub_wc               ⏹ Finished [127]
